WP_003009573.1	336479	27.407	270	330	27813	7.79e-18	82.0
WP_003009573.1	336479	24.034	233	330	27813	6.41e-12	63.9
WP_003009589.1	336399	29.487	78	206	54440	7.46e-05	40.4
WP_003009812.1	336417	33.639	327	333	57646	4.28e-51	179
WP_003009812.1	336417	28.198	344	333	57646	1.38e-20	90.5
WP_003009776.1	336417	23.358	411	387	57646	6.54e-08	52.0
WP_036096948.1	336479	27.595	395	395	27813	1.03e-37	142
WP_036096948.1	336479	24.346	382	395	27813	8.83e-28	113
WP_003009323.1	336398	26.744	86	210	109757	2.47e-06	45.1
WP_003009722.1	336499	26.906	223	356	4317	5.36e-06	45.4
WP_196221670.1	336445	29.286	140	279	53086	4.27e-09	54.7
WP_003009621.1	336485	24.590	244	323	7051	1.48e-14	72.0
WP_003009344.1	336412	31.549	355	357	112364	3.30e-41	151
WP_003009407.1	336479	23.556	225	317	27813	9.73e-14	69.3
WP_003009407.1	336479	23.039	204	317	27813	7.67e-05	41.6
WP_003009310.1	336406	28.155	206	301	108953	6.03e-20	87.8
WP_003009880.1	336412	25.521	192	286	112364	3.88e-07	48.5
WP_003009580.1	336417	65.979	679	678	57646	0.0	764
WP_003009943.1	336417	65.990	394	429	57646	1.92e-147	461
WP_003009765.1	336417	51.187	379	382	57646	6.08e-130	409
WP_003009508.1	336417	89.565	345	345	57646	0.0	637
WP_003009508.1	336417	26.977	215	345	57646	1.14e-05	44.7
WP_003009476.1	336417	63.415	410	416	57646	8.40e-162	501
WP_003009413.1	336417	75.585	299	301	57646	7.26e-153	470
WP_003009872.1	336417	70.068	294	296	57646	5.43e-130	404
WP_003009375.1	336417	73.512	336	342	57646	7.67e-173	530
WP_036096931.1	336417	82.734	139	143	57646	1.96e-78	249
WP_003009932.1	336417	37.826	230	261	57646	2.57e-42	151
WP_003009471.1	336452	72.973	259	279	10363	1.99e-127	396
WP_003009471.1	336452	27.064	218	279	10363	1.72e-13	67.8
WP_036096929.1	336452	58.425	546	585	10363	0.0	623
WP_036096929.1	336452	27.317	205	585	10363	1.77e-15	77.4
WP_003009327.1	336452	80.392	306	306	10363	7.65e-172	525
WP_003009876.1	336452	73.148	324	322	10363	8.59e-153	471
WP_003009525.1	336452	70.550	309	311	10363	3.56e-144	446
WP_003009886.1	336468	74.823	282	279	18106	5.04e-145	447
WP_036096920.1	336468	82.900	462	471	18106	0.0	677
WP_032912999.1	336479	84.828	145	145	27813	6.08e-71	228
WP_282974009.1	336446	64.020	403	408	11147	2.34e-171	528
WP_282974009.1	336446	25.187	401	408	11147	1.30e-33	130
WP_004479640.1	336446	77.465	355	362	11147	0.0	565
WP_004479675.1	336497	61.883	223	229	63326	3.77e-100	316
WP_050558826.1	336446	46.939	49	71	11147	5.90e-11	53.1
WP_282974006.1	336441	31.373	357	427	1641	9.83e-45	160
WP_004479635.1	336417	39.344	366	367	57646	1.01e-67	229
WP_004479635.1	336417	31.332	383	367	57646	9.57e-40	147
WP_282974003.1	336452	38.889	180	176	10363	3.59e-34	124
WP_282973997.1	336452	29.752	121	362	10363	1.56e-11	63.2
WP_282973997.1	336452	24.066	241	362	10363	1.61e-07	50.4
